Aba | ♂ | Török eredetű régi magyar személynév | apa | „rendkívül ritka” → „nagyon ritka”
Joachim | ♂ | A Joakim ‣ név alakváltozata | Jahve felemel | „nagyon ritka” → „néhány előfordulás”
Joáhim | ♂ | A Joakim ‣ név alakváltozata | Jahve felemel | „néhány előfordulás” → „néhány előfordulás”
Joakim | ♂ | Héber eredetű bibliai név | Jahve felemel | „nagyon ritka” → „nagyon ritka”
Joákim | ♂ | A Joakim ‣ név alakváltozata | Jahve felemel | „néhány előfordulás” → „nagyon ritka”
Jób | ♂ | A bibliai héber Hijjob névből származik | hol az apa ? | „néhány előfordulás” → „néhány előfordulás”
Joel | ♂ | Héber eredetű bibliai név | Jahve az Isten | „nagyon ritka” → „elég ritka”
Johanán | ♂ | Héber eredetű bibliai név | Isten kegyelmes ; Jahve kegyelems volt ; az Úr jóindulatú , jóságos , kedves | „néhány előfordulás” → „néhány előfordulás”
Jónás | ♂ | Héber eredetű bibliai név | galamb | „nagyon ritka” → „nagyon ritka”
Jonatán | ♂ | Héber eredetű bibliai név | Jahve adta | „elég ritka” → „elég ritka”
Jordán | ♂ | Palesztina fő folyójának a héber eredetű nevéből terjedt el Európában a keresztes háborúk után | a folyónév jelentése : alázuhog | „nagyon ritka” → „nagyon ritka”
Jozafát | ♂ | Héber eredetű bibliai név | Jahve ítélt | „néhány előfordulás” → „néhány előfordulás”
József | ♂ | Héber eredetű bibliai név | Isten tegyen a most született gyermekekhez ; Jahve gyarapítson | „első tízben” → „nagyon gyakori”
Józsiás | ♂ | Héber eredetű bibliai név | Jahve adjon gyógyulást | „néhány előfordulás” → „néhány előfordulás”
Józsua | ♂ | A bibliai , héber eredetű Jehosua névből származik | Jahve az üdvösség ; Jahve üdvözít | „néhány előfordulás” → „néhány előfordulás”
Józsué | ♂ | A Józsua ‣ név alakváltozata | | „néhány előfordulás” → „nagyon ritka”
Júda | ♂ | Héber eredetű bibliai név | jelentése bizonytalan , talán : Jahve vezet ; bizonyságtevő ; hitvalló | „néhány előfordulás” → „néhány előfordulás”
Jukundusz | ♂ | Latin eredetű név | derűs ; kellemes ( ember ) | „néhány előfordulás” → „néhány előfordulás”
Julián | ♂ | A Juliánusz ‣ rövidülése | | „rendkívül ritka” → „nagyon ritka”
Juliánusz | ♂ | Latin eredetű név | a Julis nemzetséghez tartozó ( férfi ) | „néhány előfordulás” → „néhány előfordulás”
Júliusz | ♂ | Latin eredetű , egy híres , ősrégi római nemzetség nevéből származik | jelentése bizonytalan , talán : Jupiter istennek szentelt ; ragyogó | „néhány előfordulás” → „rendkívül ritka”
Junior | ♂ | Angol eredetű név | fiatal ; ifjú | „nagyon ritka” → „nagyon ritka”
Jusztin | ♂ | A latin Justinus név rövidülése , ez pedig a Justus ( magyarul : Jusztusz ‣ ) továbbképzett alakja | | „nagyon ritka” → „nagyon ritka”
Jusztusz | ♂ | Latin eredetű név | igazságos ; igaz ( ember ) | „néhány előfordulás” → „néhány előfordulás”
Juszuf | ♂ | József ‣ név arab változata | Jahve adjon gyógyulást | „néhány előfordulás” → „néhány előfordulás”
Jutas | ♂ | A Jutocsa ‣ név alakváltozata | | „néhány előfordulás” → „néhány előfordulás”
Jutocsa | ♂ | Régi magyar személynév | faló ; falánk | „néhány előfordulás” → „néhány előfordulás”
Juvenál | ♂ | Latin eredetű név | ifjú ; fiatalos | „néhány előfordulás” → „néhány előfordulás”
Kaba | ♂ | Régi magyar | | „néhány előfordulás” → „rendkívül ritka”
Kabos | ♂ | A Jakab ‣ régi magyar Jakabos formájának rövidülése | | „néhány előfordulás” → „néhány előfordulás”
Kada | ♂ | Régi magyar | cölöp ; karó | „néhány előfordulás” → „rendkívül ritka”
Kadicsa | ♂ | Régi magyar | tévelygő ; bolyongó | „néhány előfordulás” → „néhány előfordulás”
Kadisa | ♂ | A Kadicsa ‣ alakváltozata | | „néhány előfordulás” → „rendkívül ritka”
Kadocsa | ♂ | A Kadicsa ‣ alakváltozata | | „néhány előfordulás” → „néhány előfordulás”
Kadosa | ♂ | A Kadicsa ‣ alakváltozata | | „nagyon ritka” → „nagyon ritka”
Kajetán | ♂ | A latin Gaetanus névből | Gaeta ( itáliai ) városból való férfi | „néhány előfordulás” → „néhány előfordulás”
Kájusz | ♂ | A latin Gaius névből | ? örül ; örvendezik | „néhány előfordulás” → „néhány előfordulás”
Kál | ♂ | Régi magyar | ( meg)marad ; öregember | „néhány előfordulás” → „néhány előfordulás”
Káldor | ♂ | Vörösmarty Mihály ‣ névalkotása | | „néhány előfordulás” → „rendkívül ritka”
Káleb | ♂ | Héber eredetű bibliai név | ? kutya ; elutasító | „néhány előfordulás” → „rendkívül ritka”
Kálmán | ♂ | Régi magyar | maradék ; életben maradt | „nagyon gyakori” → „elég ritka”
Kamill | ♂ | ? Latin eredetű | | „rendkívül ritka” → „nagyon ritka”
Kamilló | ♂ | A Kamill ‣ olasz eredetű megfelelője | | „rendkívül ritka” → „néhány előfordulás”
Kán | ♂ | Régi magyar | fejedelem ; kagán | „néhány előfordulás” → „néhány előfordulás”
Kandid | ♂ | A latin Candidus név rövidülése | fehér ; fénylő ; ragyogó | „néhány előfordulás” → „néhány előfordulás”
Kanut | ♂ | Az északi germán eredetű Knud , Knut név latinosított formájából | faj ; fajta ; előkelő származású | „néhány előfordulás” → „néhány előfordulás”
Kapisztrán | ♂ | Kapisztrán ‣ Szent János ‣ olasz szerzetesnek nevéből szárm . | Capestrano faluból való | „néhány előfordulás” → „néhány előfordulás”
Kaplon | ♂ | A Kaplony ‣ név alakvált . | | „néhány előfordulás” → „néhány előfordulás”
Kaplony | ♂ | Régi magyar | tigris | „néhány előfordulás” → „néhány előfordulás”
Kapolcs | ♂ | Régi magyar | kun férfi | „néhány előfordulás” → „néhány előfordulás”
Kara | ♂ | Régi magyar | fekete | „néhány előfordulás” → „néhány előfordulás”
Karácson | ♂ | Régi magyar | | „néhány előfordulás” → „néhány előfordulás”
Karád | ♂ | Régi magyar | | „néhány előfordulás” → „néhány előfordulás”
Karcsa | ♂ | Régi magyar | kis fekete | „néhány előfordulás” → „néhány előfordulás”
Kardos | ♂ | Késő középkori magyar | | „néhány előfordulás” → „néhány előfordulás”
Karim | ♂ | arab eredetű | kiváló ; tiszteletreméltó ; nemes | „rendkívül ritka” → „néhány előfordulás”
Karion | ♂ | Görög eredetű | Karia | „néhány előfordulás” → „néhány előfordulás”
Kármán | ♂ | Régi magyar | szabad férfi ; legény ; paraszt | „néhány előfordulás” → „néhány előfordulás”
Károly | ♂ | Régi magyar | szabad férfi ; legény ; paraszt | „nagyon gyakori” → „közepesen gyakori”
Karsa | ♂ | A Karcsa ‣ név alakvált . | | „rendkívül ritka” → „nagyon ritka”
Kartal | ♂ | Régi magyar | sas | „rendkívül ritka” → „nagyon ritka”
Kászon | ♂ | Erdélyi helynévből keletkezett | savanyú ( patak ) | „néhány előfordulás” → „néhány előfordulás”
Kasszián | ♂ | Latin eredetű | A Cassius nemzetséghez tartozó férfi | „néhány előfordulás” → „néhány előfordulás”
Kasztor | ♂ | Görög mitológiai név | önmagát kitüntető | „néhány előfordulás” → „néhány előfordulás”
Katapán | ♂ | Régi magyar | feljebb való | „néhány előfordulás” → „néhány előfordulás”
Kazimír | ♂ | Szláv ( lengyel ) eredetű | alapít , hirdet + béke | „néhány előfordulás” → „néhány előfordulás”
Kázmér | ♂ | A Kazimír ‣ név magyar alakvált . | | „nagyon ritka” → „rendkívül ritka”
Keán | ♂ | Kelta ( közelebbről gael ) eredetű ír mitológiai név | régi ; ősi | „rendkívül ritka” → „nagyon ritka”
Keled | ♂ | Régi magyar | göndör ( hajú ) | „néhány előfordulás” → „néhány előfordulás”
Kelemen | ♂ | Latin eredetű | szelíd ; kegyes ; jóságos | „nagyon ritka” → „nagyon ritka”
Kelemér | ♂ | Régi magyar | ? | „néhány előfordulás” → „néhány előfordulás”
Kelen | ♂ | Régi magyar | | „néhány előfordulás” → „néhány előfordulás”
Kelvin | ♂ | Angol eredetű | hajó pártfogója | „néhány előfordulás” → „nagyon ritka”
Kemenes | ♂ | Régi magyar Keminüs személynévből | | „néhány előfordulás” → „néhány előfordulás”
Kende | ♂ | Régi magyar Kündü személynévből | | „elég ritka” → „közepesen gyakori”
Kenese | ♂ | Régi magyar | Kenézé ; a vezéré ; a hercegé | „néhány előfordulás” → „nagyon ritka”
Kenéz | ♂ | Régi magyar | vezér ; fővezér ; herceg ; elöljáró | „nagyon ritka” → „nagyon ritka”
Kerecsen | ♂ | Régi magyar | kerecsen ( sólyomféle ) | „néhány előfordulás” → „nagyon ritka”
Kerény | ♂ | Régi magyar | lándzsa | „néhány előfordulás” → „néhány előfordulás”
Keresztély | ♂ | Latin Christianus név régi magyar alakvált . | Krisztushoz tartozó ; keresztény | „rendkívül ritka” → „néhány előfordulás”
Keresztes | ♂ | A Keresztély ‣ név régi magyar szárm . | | „néhány előfordulás” → „néhány előfordulás”
Kerim | ♂ | Arab eredetű . Karim ‣ alakváltozata | kiváló ; tiszteletreméltó ; nemes | „néhány előfordulás” → „nagyon ritka”
Kerubin | ♂ | Héber eredetű | áldás ; áldani | „néhány előfordulás” → „néhány előfordulás”
Késav | ♂ | Indiai eredetű név | hosszú hajú | „néhány előfordulás” → „néhány előfordulás”
Keszi | ♂ | Régi magyar | rész ; darab ; töredék | „néhány előfordulás” → „néhány előfordulás”
Kesző | ♂ | A Keszi ‣ név szárm . | | „néhány előfordulás” → „néhány előfordulás”
Ketel | ♂ | Régi magyar | ?( állatot ) örző , vezető ; vezetékló | „néhány előfordulás” → „rendkívül ritka”
Keve | ♂ | Régi magyar | kövecske | „nagyon ritka” → „elég ritka”
Kevend | ♂ | Régi magyar | ismeretlen | „néhány előfordulás” → „néhány előfordulás”
Kevin | ♂ | Ír eredetű | kellemes , jó születés ; kedvesnek , csinosnak született | „közepesen gyakori” → „nagyon gyakori”
Kilán | ♂ | -- | | „néhány előfordulás” → „néhány előfordulás”
Kilény | ♂ | A Kilián ‣ régi magyar alakvált . | | „néhány előfordulás” → „néhány előfordulás”
Kilián | ♂ | Kelta eredetű | ? remete ; ? szerzetes ; ? cellában lakó | „nagyon ritka” → „nagyon ritka”
Kilit | ♂ | Görög eredetű | kiválasztott | „néhány előfordulás” → „néhány előfordulás”
Kirill | ♂ | Cirill ‣ név görög eredetijéből szárm . | | „rendkívül ritka” → „nagyon ritka”
Kiron | ♂ | Görög eredetű mitológiai név | | „néhány előfordulás” → „néhány előfordulás”
Kitán | ♂ | Ismeretlen eredetű | ismeretlen | „néhány előfordulás” → „néhány előfordulás”
Klaudió | ♂ | A Klaudiusz ‣ név olasz megfelelőjéből | | „néhány előfordulás” → „rendkívül ritka”
Klaudiusz | ♂ | Latin eredetű | béna ; sánta | „néhány előfordulás” → „néhány előfordulás”
Klausz | ♂ | Miklós ‣ név német rövidült alakváltozata | győzelem + nép | „néhány előfordulás” → „rendkívül ritka”
Kleofás | ♂ | Görög eredetű | híres apától származó ; az apa dicsősége , hírneve | „néhány előfordulás” → „néhány előfordulás”
Kleon | ♂ | Görög eredetű | dicsőség | „néhány előfordulás” → „nagyon ritka”
Klétus | ♂ | A görög eredetű latinosított Anacletus rövidülése | feddhetetlen | „néhány előfordulás” → „néhány előfordulás”
Kocsárd | ♂ | Régi magyar | | „néhány előfordulás” → „néhány előfordulás”
Kolen | ♂ | Kolin ‣ ír alakváltozata | | „néhány előfordulás” → „nagyon ritka”
Kolin | ♂ | angol eredetű | Nicholas önállósült becéző alakváltozata ; a gall Cailean alakja , jelentése ' kölöyökkutya , kölyökoroszlán ' | „néhány előfordulás” → „nagyon ritka”
Kolja | ♂ | Miklós ‣ név szláv formájának ( Nikolaj ) rövidült alakváltozata | győzelem + nép | „néhány előfordulás” → „néhány előfordulás”
Kolos | ♂ | Régi magyar | | „elég ritka” → „közepesen gyakori”
Kolozs | ♂ | A Kolos ‣ alakvált . | | „néhány előfordulás” → „rendkívül ritka”
Kolta | ♂ | Régi magyar | | „néhány előfordulás” → „néhány előfordulás”
Kolumbán | ♂ | Latin Columbanus névből szárm . | galambos ; galambkedvelő ; galambtenyésztő | „néhány előfordulás” → „néhány előfordulás”
Kolumbusz | ♂ | Latin eredetű | galamb | „néhány előfordulás” → „néhány előfordulás”
Kond | ♂ | Kund ‣ alakváltozata | faj ; fajta ; előkelő származású | „néhány előfordulás” → „néhány előfordulás”
Konor | ♂ | Kelta eredetű ír név | kutyabarát ; farkasbarát | „rendkívül ritka” → „nagyon ritka”
Konrád | ♂ | Germán eredetű | merész + tanács ( adó ) | „elég ritka” → „elég ritka”
Konstantin | ♂ | A latin Constantinus rövidülése | állhatatos ; szilárd | „nagyon ritka” → „nagyon ritka”
Kont | ♂ | Régi magyar | faj , fajta ; előkelő szárm . | „néhány előfordulás” → „néhány előfordulás”
Koppány | ♂ | Régi magyar | nagy ; győzelmes ; erős ; magas | „elég ritka” → „közepesen gyakori”
Koridon | ♂ | Görög eredetű | búbos pacsirta | „néhány előfordulás” → „néhány előfordulás”
Koriolán | ♂ | A latin Coriolanus név rövidülése | Corioli városból való ( férfi ) | „néhány előfordulás” → „néhány előfordulás”
Kornél | ♂ | A latin Cornelius nemzetségnév rövidülése | | „közepesen gyakori” → „közepesen gyakori”
Korvin | ♂ | A latin Corvinus név rövidülése | holló | „néhány előfordulás” → „nagyon ritka”
Kos | ♂ | Régi magyar személynév | | „néhány előfordulás” → „néhány előfordulás”
Kósa | ♂ | A Ko - kezdetű személynevek régi magyar becézőjéből önállósult | | „néhány előfordulás” → „néhány előfordulás”
Kovrat | ♂ | Régi magyar személynév | | „néhány előfordulás” → „néhány előfordulás”
Kozma | ♂ | A görög Kozmosz névnek a latin Cosma formájából | ékes ; díszített | „néhány előfordulás” → „néhány előfordulás”
Kötöny | ♂ | Régi magyar | ( lóra termett ) hátsó | „néhány előfordulás” → „nagyon ritka”
Kövecs | ♂ | Régi magyar | kavics | „néhány előfordulás” → „néhány előfordulás”
Krisna | ♂ | Indiai név | fekete ; sötét | „néhány előfordulás” → „néhány előfordulás”
Kristóf | ♂ | A görög Krisztophorosz névből | Krisztust hordozó | „nagyon gyakori” → „nagyon gyakori”
Krisztián | ♂ | A latin Cristianus név rövidüléséből | Krisztushoz tartozó ; keresztény | „nagyon gyakori” → „nagyon gyakori”
Krisztofer | ♂ | A Kristóf ‣ angol megfelelőjéből | | „közepesen gyakori” → „közepesen gyakori”
Krizosztom | ♂ | Görög eredetű | aranyszájú | „néhány előfordulás” → „néhány előfordulás”
Krizsán | ♂ | Szláv eredetű név | Valakihez tartozó | „néhány előfordulás” → „néhány előfordulás”
Kund | ♂ | Az északi germán Knut , Knud névből | faj ; fajta ; előkelő származású | „rendkívül ritka” → „rendkívül ritka”
Kunó | ♂ | A Konrád ‣ német becézőjéből önállósult | | „néhány előfordulás” → „néhány előfordulás”
Kurd | ♂ | Régi magyar | farkas | „néhány előfordulás” → „néhány előfordulás”
Kurszán | ♂ | Régi magyar | keselyű | „néhány előfordulás” → „rendkívül ritka”
Kurt | ♂ | Német eredetű | | „nagyon ritka” → „néhány előfordulás”
Kusán | ♂ | Indiai eredetű név | | „néhány előfordulás” → „néhány előfordulás”
Kustyán | ♂ | Régi magyar személynév | | „néhány előfordulás” → „néhány előfordulás”
Kürt | ♂ | Régi magyar | ? hógörgeteg ; lavina | „néhány előfordulás” → „néhány előfordulás”
Kventin | ♂ | Latin eredetű angol és francia név | ötödik szülött | „néhány előfordulás” → „néhány előfordulás”
Laborc | ♂ | Anonymus , III . Béla ‣ király névtelen jegyzője költötte ezt a nevet krónikájában a hasonló folyónévből , és ő tette meg az Árpád ‣ vitézeitől legyőzött ungvári kapitány nevének | | „néhány előfordulás” → „néhány előfordulás”
Lád | ♂ | Ladomér ‣ önállósult rövidült alakja | hatalom + nagy | „néhány előfordulás” → „néhány előfordulás”
Ladomér | ♂ | A szláv eredetű Vladimír ‣ névnek a régi magyar formája | hatalom + nagy | „néhány előfordulás” → „néhány előfordulás”
Lajos | ♂ | A régi germán Chlodovech névnek a francia Louis formájából származik | hangos ; híres + harc | „rendkívül gyakori” → „közepesen gyakori”
Lamar | ♂ | Francia eredetű helynévből | | „néhány előfordulás” → „néhány előfordulás”
Lambert | ♂ | Német eredetű név | ország + fényes ; híres | „rendkívül ritka” → „rendkívül ritka”
Lándor | ♂ | A Leander ‣ név régi magyar formája | | „néhány előfordulás” → „néhány előfordulás”
Lantos | ♂ | Késő középkori magyar személynév , a hasonló közszóból származik | | „néhány előfordulás” → „néhány előfordulás”
Largó | ♂ | Olasz és spanyol eredetű név | hosszú | „néhány előfordulás” → „néhány előfordulás”
Larion | ♂ | Az Ilárion ‣ név szláv rövidülése | | „nagyon ritka” → „nagyon ritka”
László | ♂ | A szláv Vladislav névnek a magyar formája | hatalom + dicsőség | „első tízben” → „rendkívül gyakori”
Laurent | ♂ | Laurentius ( magyarul : Lőrinc ‣ ) francia alakváltozata | ( a Róma melletti ) Laurentum városából való ; babérkoszorúval ékesített | „rendkívül ritka” → „rendkívül ritka”
Lázár | ♂ | A héber Eleazár név görög rövidüléséből , ill . ennek a latin Lazarus formájából származik | Isten segített | „elég ritka” → „elég ritka”
Lázó | ♂ | A Lázár ‣ régi magyar becézőjéből önállósult | | „néhány előfordulás” → „néhány előfordulás”
Leander | ♂ | A görög Leandrosz név latin változatából származik | a nép fia | „néhány előfordulás” → „néhány előfordulás”
Leandró | ♂ | Leandrosz portugál és spanyol alakváltozata | oroszlán + ember | „néhány előfordulás” → „rendkívül ritka”
Leándrosz | ♂ | Görög eredetű név | oroszlán + ember | „néhány előfordulás” → „néhány előfordulás”
Lehel | ♂ | A régi magyar Lél ‣ személynév későbbi alakváltozata | | „elég ritka” → „elég ritka”
Lél | ♂ | Régi magyar személynév ; Árpád ‣ fejedelem dédunokájának a neve | lélek | „rendkívül ritka” → „rendkívül ritka”
Lénárd | ♂ | A Leonárd ‣ név régi magyar alakváltozata | | „elég ritka” → „elég ritka”
Lénárt | ♂ | Lénárd ‣ név alakváltozata | | „rendkívül ritka” → „néhány előfordulás”
Leó | ♂ | A görög Leon ‣ név latin alakváltozatából való | oroszlán | „nagyon ritka” → „elég ritka”
Leon | ♂ | A Leo - kezdetű nevek becéző formája a görögben | oroszlán | „nagyon ritka” → „nagyon ritka”
Leonárd | ♂ | A germán eredetű Leonhard névből származik | oroszlán + erős ; merész | „nagyon ritka” → „nagyon ritka”
Leonárdó | ♂ | A Leonárd ‣ olasz alakváltozata | oroszlán + erős ; merész | „rendkívül ritka” → „elég ritka”
Leonidász | ♂ | Görög eredetű név | oroszlán fia ; ill . Leon ‣ fia | „rendkívül ritka” → „nagyon ritka”
Leontin | ♂ | Latin Leontinus rövidült alakváltozata | Leontini ( sziciliai ) városból való | „néhány előfordulás” → „rendkívül ritka”
Leopold | ♂ | A germán Liutbald névből származik | nép + merész | „rendkívül ritka” → „rendkívül ritka”
Lestár | ♂ | A görög eredetű , latinosított Eustachius ( magyarul : Euszták ‣ ) névnek a Leustachius változatából származó magyar névforma | | „néhány előfordulás” → „néhány előfordulás”
Levéd | ♂ | A Levedi ‣ név alakváltozata | | „néhány előfordulás” → „néhány előfordulás”
Levedi | ♂ | Régi magyar személynév | levőcske ; kis lény ; népalakulat + nagy ; orsozlán | „néhány előfordulás” → „néhány előfordulás”
Levente | ♂ | Régi magyar személynév | levőcske ; kis lény ; vadász | „nagyon gyakori” → „első tízben”
Lévi | ♂ | Héber eredetű bibliai név | | „néhány előfordulás” → „nagyon ritka”
Liberátusz | ♂ | Latin eredetű név | fölszabadított | „néhány előfordulás” → „néhány előfordulás”
Libériusz | ♂ | Latin eredetű név | szabad ; szabadon született | „néhány előfordulás” → „néhány előfordulás”
Libor | ♂ | A Libóriusz ‣ név rövidülése | | „néhány előfordulás” → „néhány előfordulás”
Libóriusz | ♂ | A görög eredetű , latin Liborius névből származik | Liburnia vidékéről való ( férfi ) | „néhány előfordulás” → „néhány előfordulás”
Linasz | ♂ | Görög Linos névből származik , a névnek számos nyelvben megtalálható a különféle alakváltozata . Feltehetőleg a lineos szóból ered . | szőke ; lenszőke | „néhány előfordulás” → „rendkívül ritka”
Lionel | ♂ | A Leon ‣ név Lion alakváltozatának a francia kicsinyítőképzős formája | | „nagyon ritka” → „elég ritka”
Lipót | ♂ | A Leopold ‣ magyar alakváltozata | | „nagyon ritka” → „rendkívül ritka”
Lívió | ♂ | Liviusz ‣ olasz alakváltozata | ólomszürke ; kékes ; irigy ; rosszakaratú | „néhány előfordulás” → „néhány előfordulás”
Liviusz | ♂ | Líviusz ‣ alakváltozata | ólomszürke ; kékes ; irigy ; rosszakaratú | „néhány előfordulás” → „rendkívül ritka”
Líviusz | ♂ | Latin nemzetségnévből származik | ólomszürke ; kékes ; irigy ; rosszakaratú | „rendkívül ritka” → „nagyon ritka”
Lizander | ♂ | A görög Lüszandrosz név latinos Lysander formájából származik ; Híres spártai hadvezér neve volt | megszabadít + férfi | „néhány előfordulás” → „néhány előfordulás”
Loránd | ♂ | A Lóránt ‣ régebbi magyar alakváltozata | hírnév + merész | „elég ritka” → „nagyon ritka”
Lóránd | ♂ | Loránd ‣ alakváltozata | hírnév + merész | „elég ritka” → „nagyon ritka”
Lóránt | ♂ | A germán eredetű Roland ‣ név magyar alakváltozata | hírnév + merész | „elég ritka” → „közepesen gyakori”
Lorenzó | ♂ | Laurentius ( magyarul : Lőrinc ‣ ) olasz alakváltozata | ( a Róma melletti ) Laurentum városából való ; babérkoszorúval ékesített | „nagyon ritka” → „elég ritka”
Lotár | ♂ | Germán eredetű német névből származik | hangos ; híres + nép ; sereg | „néhány előfordulás” → „rendkívül ritka”
Lőrinc | ♂ | A latin Laurentius névből származik | ( a Róma melletti ) Laurentum városából való ; babérkoszorúval ékesített | „elég ritka” → „elég ritka”
Lucián | ♂ | A latin Lucianus név rövidülése | Lucius családjából származó | „rendkívül ritka” → „rendkívül ritka”
Lúciusz | ♂ | A latin Lucius névből származik , mely a lux ( fény ) szóból ered | fényes ; ragyogó ; hajnalban született | „néhány előfordulás” → „néhány előfordulás”
Ludvig | ♂ | Ónémet eredetű név | híres + harc | „néhány előfordulás” → „rendkívül ritka”
Lukács | ♂ | A latin Lucas névből származik | Lucania tartományból való | „elég ritka” → „elég ritka”
Lüszien | ♂ | Lucianus angol alakváltozata | Lucius családjából származó | „néhány előfordulás” → „néhány előfordulás”
Madocsa | ♂ | Régi magyar Mod személynév származéka | ismeretlen | „néhány előfordulás” → „néhány előfordulás”
Magnusz | ♂ | Latin eredetű | nagy | „néhány előfordulás” → „néhány előfordulás”
Magor | ♂ | Régi magyar | magocska ; szemecske ; gabonaszem | „nagyon ritka” → „elég ritka”
Majlát | ♂ | Régi magyar | ? | „néhány előfordulás” → „néhány előfordulás”
Majs | ♂ | Régi Majsa névalakból keletkezett | | „néhány előfordulás” → „néhány előfordulás”
Makabeus | ♂ | Bibliai névből ill . Ennek latinosított alakjából | ? kalapácsos | „néhány előfordulás” → „néhány előfordulás”
Makár | ♂ | Görög Makariosz név latin Macarius formájának rövidülése | boldog | „néhány előfordulás” → „néhány előfordulás”
Malakiás | ♂ | Héber eredetű bibliai név | küldöttem ; hírnököm | „néhány előfordulás” → „néhány előfordulás”
Malik | ♂ | Héber eredetű | király | „néhány előfordulás” → „rendkívül ritka”
Manassé | ♂ | Héber eredetű bibliai név | feledékeny ; aki elfelejti ; az elfelejtett ember ; pótlék | „rendkívül ritka” → „rendkívül ritka”
Mandel | ♂ | germán | mandula , mandula szemű | „néhány előfordulás” → „néhány előfordulás”
Manfréd | ♂ | Germán Manfried név normann alakváltozatából | férfi + béke ; védelem | „néhány előfordulás” → „néhány előfordulás”
Manó | ♂ | A Mánuel ‣ név régi magyar becézőjéből | | „rendkívül ritka” → „rendkívül ritka”
Manóhar | ♂ | szanszkrit | :' lelket|szívet elragadó , bájos ' | „néhány előfordulás” → „néhány előfordulás”
Manszvét | ♂ | Latin Mansuetus névből | szelíd ; nyájas | „néhány előfordulás” → „néhány előfordulás”
Manuel | ♂ | Manuel ‣ név alakváltozata | velünk az Isten | „nagyon ritka” → „nagyon ritka”
Mánuel | ♂ | Az Emánuel ‣ név rövidülése | velünk az Isten | „rendkívül ritka” → „rendkívül ritka”
Marcel | ♂ | Marcell ‣ alakváltozata | ? Mars istennek szentelt | „nagyon ritka” → „nagyon ritka”
Marcell | ♂ | A latin Marcellus családnévből | ? Mars istennek szentelt | „közepesen gyakori” → „rendkívül gyakori”
Marcián | ♂ | A latin Martianus név rövidülése | a Martius nemzetségből való | „néhány előfordulás” → „néhány előfordulás”
Március | ♂ | A latin Martius nemzetségnévből szárm . | ? Mars istennek szentelt | „néhány előfordulás” → „néhány előfordulás”
Marcselló | ♂ | A Marcell ‣ olasz alakváltozata | ? Mars istennek szentelt | „néhány előfordulás” → „nagyon ritka”
Marián | ♂ | A latin Marianus rövidülése | A Marius nemzetséghez tart . | „rendkívül ritka” → „nagyon ritka”
Marinusz | ♂ | Latin eredetű | tengeri | „néhány előfordulás” → „néhány előfordulás”
Márió | ♂ | A Máriusz ‣ név olasz megfelelője | | „elég ritka” → „elég ritka”
Máriusz | ♂ | A latin Marius nemzetségnévből | ? férfias | „nagyon ritka” → „nagyon ritka”
Márk | ♂ | A Márkus ‣ név rövidülése | ? Mars hadistenhez tartozó , neki szentelt | „nagyon gyakori” → „rendkívül gyakori”
Markó | ♂ | A Márkus ‣ régi magyar becézőjéből | ? Mars hadistenhez tartozó , neki szentelt | „nagyon ritka” → „néhány előfordulás”
Márkó | ♂ | A Márkus ‣ olasz megfelelőjéből | ? Mars hadistenhez tartozó , neki szentelt | „elég ritka” → „elég ritka”
Márkus | ♂ | A latin Marcus névből | ? Mars hadistenhez tartozó , neki szentelt | „nagyon ritka” → „rendkívül ritka”
Márkusz | ♂ | A latin Marcus névből | ? Mars hadistenhez tartozó , neki szentelt | „rendkívül ritka” → „nagyon ritka”
Marót | ♂ | Régi magyar | morva ( ember ) | „néhány előfordulás” → „néhány előfordulás”
Marsal | ♂ | Az ófrancia Marshall név alakváltozata | lovakat gondozó | „néhány előfordulás” → „néhány előfordulás”
Martin | ♂ | A Márton ‣ névnek a latin eredetihez közel álló vált . | | „közepesen gyakori” → „nagyon gyakori”
Marton | ♂ | Márton ‣ név alakváltozata | Mars hadistenhez hasonló ; harcias ; bátor | „rendkívül ritka” → „néhány előfordulás”
Márton | ♂ | A Latin Martinus név rövidült magyar formája | Mars hadistenhez hasonló ; harcias ; bátor | „nagyon gyakori” → „nagyon gyakori”
Martos | ♂ | A Márton ‣ régi magyar becézőjéből | | „néhány előfordulás” → „rendkívül ritka”
Marvin | ♂ | ókelta eredetű angol név | tenger + kiváló | „néhány előfordulás” → „néhány előfordulás”
Máté | ♂ | Bibliai név | Isten ajándéka | „nagyon gyakori” → „első tízben”
Mateusz | ♂ | Héber-latin eredetű bibliai név | Isten ajándéka | „néhány előfordulás” → „nagyon ritka”
Mátyás | ♂ | Bibliai név | Isten ajándéka | „közepesen gyakori” → „közepesen gyakori”
Mauríció | ♂ | A latin Mauritius név olasz , spanyol , portugál alakváltozata | mór ; szerecsen | „néhány előfordulás” → „néhány előfordulás”
Mauró | ♂ | Maurició olasz rövidült alakváltozata | mór ; szerecsen | „néhány előfordulás” → „rendkívül ritka”
Max | ♂ | Maximilian önállósult rövidült alakváltozata | a legnagyobb | „nagyon ritka” → „nagyon ritka”
Maxim | ♂ | A latin Maximus családnévből | a legnagyobb | „nagyon ritka” → „elég ritka”
Maximilián | ♂ | A latin Maximilianus név rövidülése | | „nagyon ritka” → „elég ritka”
Maximusz | ♂ | A latin Maximus családnévből | a legnagyobb | „néhány előfordulás” → „rendkívül ritka”
